t,unit_id,n_selected,n_shortlisted,n_suppressed,top_sim,C,M,A
0,0,0,0,0,0.0,0,0,0
1,1,0,0,0,0.0,0,0,0
2,2,0,0,0,0.0,0,0,0
3,3,5,8,0,0.6451,8,0,0
4,4,5,8,0,0.5175,8,0,0
5,5,5,8,0,0.6924,8,0,0
6,6,5,20,1,0.5548,20,0,0
7,7,1,20,0,0.3394,19,1,0
8,8,1,20,0,0.3313,19,1,0
9,9,5,30,0,0.4471,33,1,0
10,10,5,30,0,0.3881,33,1,0
11,11,5,30,0,0.4495,33,1,0
12,12,5,30,0,0.3892,37,1,0
13,13,5,30,0,0.6089,37,1,0
14,14,4,30,0,0.4229,37,1,0
15,15,3,30,0,0.3959,58,2,0
16,16,5,30,0,0.4439,58,2,0
17,17,2,30,0,0.3625,57,3,0
18,18,5,30,0,0.6758,64,3,0
19,19,5,30,0,0.5713,64,3,0
20,20,2,30,0,0.39,63,4,0
21,21,5,30,0,0.4907,77,5,0
22,22,5,30,0,0.5745,77,5,0
23,23,5,30,0,0.6135,77,5,0
24,24,5,30,3,0.7152,81,5,0
25,25,5,30,0,0.505,81,5,0
26,26,5,30,1,0.6483,81,5,0
27,27,5,30,0,0.6477,88,5,0
28,28,5,30,0,0.6524,88,5,0
29,29,5,30,0,0.4558,88,5,0
30,30,5,30,0,0.5542,93,6,0
31,31,5,30,0,0.5863,91,8,0
32,32,5,30,0,0.6608,91,8,0
33,33,5,30,0,0.6382,105,8,0
34,34,5,30,0,0.5922,105,8,0
35,35,5,30,0,0.5004,105,8,0
36,36,5,30,0,0.5678,111,8,0
37,37,5,30,0,0.6274,111,8,0
38,38,5,30,2,0.726,111,8,0
39,39,5,30,0,0.6527,122,8,0
40,40,5,30,0,0.5732,122,8,0
41,41,5,30,0,0.5399,122,8,0
42,42,5,30,0,0.6318,136,8,0
43,43,5,30,0,0.4686,136,8,0
44,44,5,30,0,0.4491,136,8,0
45,45,5,30,0,0.5141,153,8,0
46,46,5,30,1,0.4672,153,8,0
47,47,5,30,0,0.4101,153,8,0
48,48,4,30,0,0.3836,161,8,0
49,49,5,30,1,0.6485,161,8,0
50,50,5,30,0,0.5986,161,8,0
51,51,5,30,0,0.6841,169,8,0
52,52,5,30,0,0.5463,169,8,0
53,53,5,30,0,0.6701,169,8,0
54,54,5,30,0,0.5116,181,8,0
55,55,5,30,0,0.463,181,8,0
56,56,5,30,0,0.6883,180,8,1
57,57,5,30,0,0.4945,188,8,3
58,58,5,30,0,0.568,181,8,10
59,59,5,30,0,0.4215,181,8,10
60,60,5,30,0,0.4575,196,8,10
61,61,5,30,1,0.5305,188,8,18
62,62,5,30,0,0.5381,188,8,18
63,63,5,30,0,0.4575,206,8,19
64,64,5,30,0,0.371,204,8,21
65,65,5,30,0,0.4382,201,8,24
66,66,5,30,0,0.3903,210,8,24
67,67,5,30,0,0.3461,195,8,39
68,68,5,30,0,0.4847,194,8,40
69,69,5,30,0,0.5498,201,8,40
70,70,5,30,0,0.6128,193,8,48
71,71,5,30,0,0.5224,192,8,49
72,72,5,30,0,0.5837,196,8,49
73,73,5,30,0,0.5507,188,8,57
74,74,5,30,0,0.5841,185,8,60
75,75,5,30,0,0.4188,189,8,61
76,76,5,30,0,0.4969,186,8,64
77,77,5,30,0,0.5078,186,8,64
78,78,5,30,0,0.6575,194,8,64
79,79,5,30,0,0.525,192,8,66
80,80,5,30,0,0.6065,190,8,68
81,81,5,30,1,0.597,192,8,69
82,82,5,30,0,0.4592,189,8,72
83,83,5,30,0,0.6673,186,8,75
84,84,5,30,0,0.5518,197,8,77
85,85,5,30,0,0.569,189,8,85
86,86,5,30,0,0.6597,189,8,85
87,87,5,30,0,0.5551,195,8,88
88,88,5,30,0,0.5892,191,8,92
89,89,5,30,0,0.5273,191,8,92
90,90,5,30,0,0.519,199,8,95
91,91,5,30,0,0.7206,189,8,105
92,92,5,30,0,0.7502,189,8,105
93,93,5,30,0,0.7494,213,8,105
94,94,5,30,0,0.5108,201,8,117
95,95,5,30,0,0.5885,199,8,119
96,96,5,30,0,0.5357,215,8,119
97,97,5,30,0,0.6499,202,8,132
98,98,5,30,0,0.5983,202,8,132
99,99,5,30,0,0.6344,212,8,132
100,100,5,30,0,0.6956,206,8,138
101,101,5,30,0,0.3894,201,8,143
102,102,5,30,0,0.5366,209,8,146
103,103,5,30,0,0.6696,207,8,148
104,104,5,30,0,0.4575,204,8,151
105,105,5,30,0,0.689,213,8,156
